chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,LABEL
0.41883937,0.04315406,1975.0776111055345,2112.2277435437304,3193.896588486141,0.054988381196695094,-305.36148,194.7399,-83.30608,-13.517498,-36.91585,-8.65627,-19.704216,-10.124305,3.327196,-13.764372,6.464885,0.15209782,3.744461,-7.517575,-3.9364302,0.86536425,-11.760538,-5.2950196,-5.114873,-3.6164904,REAL
0.4250137,0.05309338,1805.9321388101475,2056.084689182939,2878.214952025586,0.046253456489872065,-281.00208,190.29501,-69.196335,-19.435837,-26.588385,-6.475963,-22.5796,-11.617368,2.4138293,-11.756551,3.87981,-2.2497027,-1.1454086,-8.458251,-5.439873,-0.27267528,-10.375814,-6.8029795,-5.749194,-3.8425598,REAL
0.39347538,0.053200774,1936.3436498870544,2197.6523637840746,3094.0998134328356,0.05055532882462686,-288.65622,184.24757,-60.912334,-11.678681,-24.021326,1.9598941,-21.34627,-11.433891,0.69449544,-16.863195,-0.3660957,-5.0494456,-1.6480243,-9.130779,-6.5886226,-2.2884345,-10.607565,-7.7649503,-4.537545,-4.6613994,REAL
0.4471946,0.05197835,2154.8830780659137,2169.699012755802,3422.12486673774,0.0614162030250533,-264.80267,183.39813,-83.43435,-11.981846,-36.86318,-6.396013,-22.28272,-7.482723,0.59661657,-12.678551,3.4687517,-3.9311585,4.5222588,-5.3697553,0.15918007,-1.1570079,-8.832238,-5.1527686,-5.3424873,-1.5491736,REAL
0.41383797,0.051773623,2123.4545943424014,2277.997473760079,3384.644856076759,0.05941206356609808,-272.04163,182.9965,-75.61659,-8.080627,-32.428486,-1.8012165,-21.31665,-3.144409,0.7520558,-12.2757435,3.2563424,-9.012161,3.3033266,-5.7801423,-1.7335049,-4.1201773,-10.061885,-5.3043804,-6.4991484,-0.85184985,REAL
0.31870216,0.05213411,1859.851969132365,2222.4028034539333,2884.9613539445627,0.04983904417643923,-302.4481,193.0212,-56.63462,-9.750374,-26.564077,2.9381802,-13.822838,-1.7973397,-1.6547502,-19.031399,0.6180093,-9.187089,-1.7128713,-3.4121938,-3.2547371,-5.931445,-15.431341,-9.198312,-3.2309515,-5.778409,REAL
0.31959814,0.05799395,1807.1267890911472,2254.5622492652146,2928.5880863539446,0.043446620135927504,-295.1312,190.37717,-45.311382,-7.462295,-24.927347,5.7221494,-11.357713,-3.7794375,-4.2478895,-21.585863,-0.60460484,-5.811797,-4.5598946,-6.976568,-1.644229,-7.1279354,-17.43274,-9.058738,-2.0856671,-6.6358066,REAL
0.3382213,0.046663996,1874.3014170222295,2390.093172613837,3078.5581023454156,0.04422120702292111,-312.39035,184.38268,-42.352936,-5.0841126,-25.846664,1.4987731,-10.104186,-3.988864,1.2569281,-14.232464,2.0760806,-4.6091323,-5.8350596,-6.3099904,-1.6507425,-6.9471507,-13.844279,-6.2702785,-3.3143833,-4.9564285,REAL
0.3433799,0.033686634,1899.078317379534,2460.1292560845513,3085.954157782516,0.04513842617270789,-336.86142,181.15845,-43.266254,-9.785345,-19.759834,-2.1172338,-11.581898,-4.5092773,4.5830636,-7.278691,4.487887,-3.5943,-3.5422266,-2.8405626,-3.6864862,-5.633182,-10.018804,-4.7073994,-3.5461593,-5.46837,REAL
0.34570876,0.044555973,1903.987648012509,2473.530696997987,3123.284248400853,0.044501265991471216,-323.1973,179.12645,-42.29344,-7.780184,-18.78456,6.052131,-12.648087,-4.0975676,-0.24495809,-15.199844,-0.075879455,-5.3276534,-2.3989887,-7.8676476,-5.531017,-6.637952,-11.51208,-6.208299,-3.6711824,-4.788825,REAL
